Odorant,Ethylpropionate,6-Methyl-5-hepten-2-on,Benzaldehyde,1-Hexanol,Isopentylacetate,Geranylacetat,1-pentanol
2a,21,46,5,40,65,2,35
7a,85,-24,200,96,-33,1,166
9a,58,58,57,102,139,-5,160
10a,38,8,123,10,208,-8,11
19a,-13,69,-15,146,81,9,84
22a,188,85,32,63,232,1,179
23a,-5,28,-5,51,21,4,73
33b,81,-11,-5,1,6,0,42
35a,1,-12,83,237,22,-3,188
43a,1,7,36,133,17,-10,77
43b,168,46,12,73,96,10,109
47a,55,40,22,58,122,-2,62
47b,-23,6,-18,-35,-38,-1,-31
49b,-5,-5,101,31,11,-4,44
59b,99,0,6,35,46,37,55
65a,4,49,-10,7,10,-7,1
67a,11,234,200,173,129,7,148
67c,47,16,6,109,48,-3,126
82a,18,61,-10,58,39,241,55
85a,44,-7,7,137,-16,-1,47
85b,57,257,37,183,231,-2,169
85f,26,34,49,64,27,-2,56
88a,-5,-15,-3,16,-1,1,8
98a,41,232,30,158,248,81,75
