features,ids,score
0,[],0.0
1,[91],0.0
2,"[91, 7]",6.7082039325
3,"[91, 7, 0]",18.4390889146
4,"[91, 7, 0, 44]",27.9821371593
5,"[91, 7, 0, 44, 6]",38.1968585096
6,"[91, 7, 0, 44, 6, 64]",52.2015325446
7,"[91, 7, 0, 44, 6, 64, 63]",66.655832453
8,"[91, 7, 0, 44, 6, 64, 63, 83]",70.3064719638
9,"[91, 7, 0, 44, 6, 64, 63, 83, 73]",74.6190324247
10,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62]",81.5475321515
11,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27]",88.8650662522
12,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78]",92.876261768
13,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98]",93.5253976201
14,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50]",97.503846078
15,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49]",100.578327685
16,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20]",103.932670513
17,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30]",105.981130396
18,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41]",108.485022008
19,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33]",111.233987612
20,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33, 31]",113.017697729
21,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33, 31, 100]",115.680594743
22,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33, 31, 100, 80]",117.072627031
23,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33, 31, 100, 80, 9]",119.12178642
24,"[91, 7, 0, 44, 6, 64, 63, 83, 73, 62, 27, 78, 98, 50, 49, 20, 30, 41, 33, 31, 100, 80, 9, 43]",121.136286884
